,Mouse Number,Weight,Day 1 V I/F,Day 1 DC1 I/F,Day 1 DC2 I/F,Day 2 V I/F ,Day 2 DC1 I/F,Day 2 DC2 I/F,Day 3 V I/F,Day 3 DC1 I/F,Day 3 DC2 I/F,Day 4 V I/F,Day 4 DC1 I/F,Day 4 DC2 I/F
0,1-246-01,,"(52.44, '51.37')","(51.67, 51.1)","(52.84, '52.24')","(52.83, 52.09)","(52.11, 51.44)","(53.35, '52.53')","(52.46, 51.22)","(53.16, 52.57)","(52.78, 52.3)","(52.59, 51.38)","(51.76, 50.88)","(51.67, 50.56)"
1,1-246-02,23.2,"(51.61, '50.9')","(51.67, 51.1)","(52.84, '52.24')","(52.02, 51.29)","(52.11, 51.44)","(53.35, '52.53')","(51.78, 50.25)","(53.16, 52.57)","(52.78, 52.3)","(51.83, 50.23)","(51.76, 50.88)","(51.67, 50.56)"
2,1-356-03,,"(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(53.16, 52.57)","(52.78, 52.3)","(nan, nan)","(51.76, 50.88)","(51.67, 50.56)"
3,1-356-04,,"(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(53.16, 52.57)","(52.78, 52.3)","(nan, nan)","(51.76, 50.88)","(51.67, 50.56)"
4,1-356-05,,"(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(53.16, 52.57)","(52.78, 52.3)","(nan, nan)","(51.76, 50.88)","(51.67, 50.56)"
5,1-256-06,,"(51.69, '50.87')","(51.67, 51.1)","(52.84, '52.24')","(52.09, 51.18)","(52.11, 51.44)","(53.35, '52.53')","(51.93, 50.96)","(53.16, 52.57)","(52.78, 52.3)","(52.55, 51.81)","(51.76, 50.88)","(51.67, 50.56)"
6,1-256-07,,"(52.48, '52.34')","(51.67, 51.1)","(52.84, '52.24')","(52.89, 52.51)","(52.11, 51.44)","(53.35, '52.53')","(52.08, 51.45)","(53.16, 52.57)","(52.78, 52.3)","(53.12, 52.39)","(51.76, 50.88)","(51.67, 50.56)"
7,1-346-08,,"(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)"
8,1-346-09,,"(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)"
9,1-356-15,,"(52.84, '51.24')","(52.45, 51.58)","(52.88, '52.21')","(52.97, 51.81)","(52.16, 51.13)","(51.78, '50.91')","(52.64, 51.23)","(52.18, 51.14)","(52.78, 52.19)","(52.85, 51.33)","(52.03, 51.46)","(52.99, 52.41)"
10,1-356-16,,"(51.95, '37.86*')","(52.45, 51.58)","(52.88, '52.21')","(51.82, 50.79)","(52.16, 51.13)","(51.78, '50.91')","(52.07, 50.96)","(52.18, 51.14)","(52.78, 52.19)","(52.0, 50.4)","(52.03, 51.46)","(52.99, 52.41)"
11,.,,"(51.97, '50.77')","(52.45, 51.58)","(52.88, '52.21')","(53.14, 51.67)","(52.16, 51.13)","(51.78, '50.91')","(52.39, 51.37)","(52.18, 51.14)","(52.78, 52.19)","(52.45, 51.1)","(52.03, 51.46)","(52.99, 52.41)"
12,1-256-21,,"(52.46, '48.99')","(52.13, 51.05)","(52.14, '50.62')","(52.64, 50.48)","(51.6, 49.63)","(52.35, 'x')","(52.4, 50.36)","(51.87, 50.55)","(53.17, 52.03)","(52.47, 50.37)","(52.91, 51.84)","(52.13, 51.13)"
13,1-356-22,,"(51.98, '50.18')","(51.6, 49.63)","(52.35, 'x')","(53.17, 51.66)","(51.87, 50.55)","(53.17, '50.03')","(52.26, 49.86)","(52.91, 52.13)","(51.84, 51.13)","(51.89, 49.86)","(53.18, 52.06)","(52.13, 51.04)"
14,1-346-23,,"(52.99, '50.92')","(51.6, 49.63)","(52.35, 'x')","(52.68, 51.06)","(51.87, 50.55)","(53.17, '50.03')","(52.67, 50.31)","(52.91, 52.13)","(51.84, 51.13)","(52.61, 49.54)","(53.18, 52.06)","(52.13, 51.04)"
15,1-256-24,,"(52.86, '50.65')","(51.6, 49.63)","(52.35, 'x')","(53.44, 51.97)","(51.87, 50.55)","(53.17, '50.03')","(53.05, 50.45)","(52.91, 52.13)","(51.84, 51.13)","(52.65, 50.19)","(53.18, 52.06)","(52.13, 51.04)"
16,1-356-26,,"(52.01, '48.02')","(51.6, 49.63)","(52.35, 'x')","(52.03, 50.63)","(51.87, 50.55)","(53.17, '50.03')","(51.99, 49.79)","(52.91, 52.13)","(51.84, 51.13)","(52.35, 48.88)","(53.18, 52.06)","(52.13, 51.04)"
17,1-346-28,,"(53.21, '51.81')","(52.4, 50.8)","(51.99, '50.99')","(53.12, 51.84)","(52.15, 51.26)","(51.68, '50.91')","(51.91, 50.67)","(52.23, 50.9)","(52.05, 51.25)","(51.56, 50.38)","(51.96, 50.9)","(52.97, 51.98)"
18,1-346-29,,"(51.97, '50.67')","(52.4, 50.8)","(51.99, '50.99')","(52.02, 50.95)","(52.15, 51.26)","(51.68, '50.91')","(52.1, 50.46)","(52.23, 50.9)","(52.05, 51.25)","(52.01, 50.51)","(51.96, 50.9)","(52.97, 51.98)"
